Class_path,Method_name,Method_len,Method_flags,Block_id,Block_start,Block_end,Block_count,Block_opcode,Block_type,Cond_true_start,Cond_true_end,Cond_true_count,Cond_false_start,Cond_false_end,Cond_false_count,Goto_start,Goto_count,Line_in_file,Can_fall_through,Is_constructor
org/apache/tika/TestRereadableInputStream.java,doTestRewind,89, private,7612,45,48,1,-,goto,-,-,-,-,-,-,50,1,92,no,no
org/apache/tika/TestRereadableInputStream.java,doTestRewind,89, private,7611,49,49,1,-,-,-,-,-,-,-,-,-,-,92,no,no
org/apache/tika/TestRereadableInputStream.java,doTestRewind,89, private,7620,50,67,1,-,cond,88,88,0,68,74,2,-,-,92,yes,no
org/apache/tika/TestRereadableInputStream.java,doTestRewind,89, private,7615,68,74,2,-,goto,-,-,-,-,-,-,88,2,92,no,no
org/apache/tika/TestRereadableInputStream.java,doTestRewind,89, private,7619,75,80,0,-,cond,85,87,0,81,84,0,-,-,92,no,no
org/apache/tika/TestRereadableInputStream.java,doTestRewind,89, private,7618,81,84,0,-,-,-,-,-,-,-,-,-,-,92,no,no
org/apache/tika/TestRereadableInputStream.java,doTestRewind,89, private,7621,85,87,0,-,exit,-,-,-,-,-,-,-,-,92,yes,no
org/apache/tika/TestRereadableInputStream.java,doTestRewind,89, private,7621,88,88,0,return,exit,-,-,-,-,-,-,-,-,92,no,no
org/apache/tika/TestRereadableInputStream.java,createTestInputStream,27, private,7622,0,26,5,-,exit,-,-,-,-,-,-,-,-,95,no,no
org/apache/tika/TestRereadableInputStream.java,createTestFile,45, private,7623,0,22,5,-,methenter,-,-,-,-,-,-,-,-,101,no,no
org/apache/tika/TestRereadableInputStream.java,createTestFile,45, private,7627,23,27,5,-,cond,39,44,5,28,38,15,-,-,108,yes,no
org/apache/tika/TestRereadableInputStream.java,createTestFile,45, private,7625,28,38,15,-,goto,-,-,-,-,-,-,23,15,108,no,no
org/apache/tika/TestRereadableInputStream.java,createTestFile,45, private,7624,39,44,5,areturn,exit,-,-,-,-,-,-,-,-,108,no,no
org/apache/tika/TestRereadableInputStream.java,testCloseBehavior,11, public,7628,0,10,1,-,exit,-,-,-,-,-,-,-,-,113,no,no
org/apache/tika/TestRereadableInputStream.java,doACloseBehaviorTest,47, private,7629,0,41,2,-,cond,46,46,1,42,45,1,-,-,119,no,no
org/apache/tika/TestRereadableInputStream.java,doACloseBehaviorTest,47, private,7631,42,45,1,-,-,-,-,-,-,-,-,-,-,128,no,no
org/apache/tika/TestRereadableInputStream.java,doACloseBehaviorTest,47, private,7632,46,46,1,-,exit,-,-,-,-,-,-,-,-,128,yes,no
org/apache/tika/TestRereadableInputStream.java,<init>,11, public,7594,0,10,5,-,exit,-,-,-,-,-,-,-,-,138,no,yes
org/apache/tika/TestRereadableInputStream.java,close,10, public,7595,0,9,5,-,exit,-,-,-,-,-,-,-,-,143,no,no
org/apache/tika/TestRereadableInputStream.java,isClosed,5, public,7596,0,4,4,-,exit,-,-,-,-,-,-,-,-,148,no,no
org/apache/tika/TikaDetectionTest.java,<init>,16, public,7633,0,15,1,-,exit,-,-,-,-,-,-,-,-,23,no,yes
org/apache/tika/TikaDetectionTest.java,testHttpServerFileExtensions,12395, public,7634,0,12394,1,-,exit,-,-,-,-,-,-,-,-,42,no,no
org/apache/tika/TikaIT.java,<init>,5, public,7635,0,4,0,-,exit,-,-,-,-,-,-,-,-,24,no,yes
org/apache/tika/TikaIT.java,testToString,25, public,7636,0,24,0,-,exit,-,-,-,-,-,-,-,-,28,no,no
org/apache/tika/TikaTest.java,<init>,5, public,19810,0,4,260,-,exit,-,-,-,-,-,-,-,-,50,no,yes
org/apache/tika/TikaTest.java,getResourceAsFile,83, public,19811,0,12,38,-,cond,25,58,0,13,24,38,-,-,62,no,no
org/apache/tika/TikaTest.java,getResourceAsFile,83, public,19813,13,24,38,areturn,exit,-,-,-,-,-,-,-,-,73,no,no
org/apache/tika/TikaTest.java,getResourceAsFile,83, public,19812,25,58,0,-,cond,81,82,0,59,80,0,-,-,73,no,no
org/apache/tika/TikaTest.java,getResourceAsFile,83, public,19815,59,80,0,-,-,-,-,-,-,-,-,-,-,73,no,no
org/apache/tika/TikaTest.java,getResourceAsFile,83, public,19816,81,82,0,-,exit,-,-,-,-,-,-,-,-,73,yes,no
org/apache/tika/TikaTest.java,getResourceAsStream,37, public,19817,0,12,128,-,cond,35,36,128,13,34,0,-,-,78,no,no
org/apache/tika/TikaTest.java,getResourceAsStream,37, public,19819,13,34,0,-,-,-,-,-,-,-,-,-,-,82,no,no
org/apache/tika/TikaTest.java,getResourceAsStream,37, public,19820,35,36,0,-,exit,-,-,-,-,-,-,-,-,82,yes,no
org/apache/tika/TikaTest.java,assertContains,32, public static,19821,0,31,961,-,exit,-,-,-,-,-,-,-,-,86,no,no
org/apache/tika/TikaTest.java,assertContains,34, public static,19822,0,33,5,-,exit,-,-,-,-,-,-,-,-,89,no,no
org/apache/tika/TikaTest.java,assertNotContained,32, public static,19823,0,31,24,-,exit,-,-,-,-,-,-,-,-,93,no,no
org/apache/tika/TikaTest.java,assertNotContained,34, public static,19824,0,33,5,-,exit,-,-,-,-,-,-,-,-,96,no,no
org/apache/tika/TikaTest.java,getXML,36, protected,19825,0,35,0,-,exit,-,-,-,-,-,-,-,-,110,no,no
org/apache/tika/TikaTest.java,getXML,42, protected,19826,0,41,58,-,exit,-,-,-,-,-,-,-,-,114,no,no
org/apache/tika/TikaTest.java,getXML,69, protected,19827,0,59,74,-,exit,-,-,-,-,-,-,-,-,118,no,no
org/apache/tika/TikaTest.java,getXML,69, protected,19828,60,68,6,-,exit,-,-,-,-,-,-,-,-,127,no,no
org/apache/tika/TikaTest.java,getText,45, public,19829,0,29,110,-,goto,-,-,-,-,-,-,39,98,136,no,no
org/apache/tika/TikaTest.java,getText,45, public,19831,30,38,12,-,exit,-,-,-,-,-,-,-,-,142,no,no
org/apache/tika/TikaTest.java,getText,45, public,19831,39,44,12,areturn,exit,-,-,-,-,-,-,-,-,142,no,no
org/apache/tika/TikaTest.java,getText,15, public,19832,0,14,7,-,exit,-,-,-,-,-,-,-,-,146,no,no
org/apache/tika/TikaTest.java,getText,15, public,19833,0,14,28,-,exit,-,-,-,-,-,-,-,-,150,no,no
org/apache/tika/TikaTest.java,getText,21, public,19834,0,20,11,-,exit,-,-,-,-,-,-,-,-,154,no,no
org/apache/tika/TikaTest.java,<init>,38, public,19804,0,37,47,-,exit,-,-,-,-,-,-,-,-,167,no,yes
org/apache/tika/TikaTest.java,<init>,32, public,19805,0,31,2,-,exit,-,-,-,-,-,-,-,-,171,no,yes
org/apache/tika/TikaTest.java,handle,37, public,19806,0,12,275,-,cond,14,36,244,13,13,31,-,-,178,no,no
org/apache/tika/TikaTest.java,handle,37, public,19808,13,13,31,return,exit,-,-,-,-,-,-,-,-,183,no,no
org/apache/tika/TikaTest.java,handle,37, public,19807,14,36,244,return,exit,-,-,-,-,-,-,-,-,183,no,no
org/apache/tika/TikaTest.java,<init>,15, public,19809,0,14,68,-,exit,-,-,-,-,-,-,-,-,103,no,yes
org/apache/tika/TypeDetectionBenchmark.java,<init>,5, public,7637,0,4,0,-,exit,-,-,-,-,-,-,-,-,27,no,yes
org/apache/tika/TypeDetectionBenchmark.java,main,99, public static,7638,0,8,0,-,cond,52,63,0,9,17,0,-,-,32,no,no
org/apache/tika/TypeDetectionBenchmark.java,main,99, public static,7640,9,17,0,-,-,-,-,-,-,-,-,-,-,44,no,no
org/apache/tika/TypeDetectionBenchmark.java,main,99, public static,7645,18,24,0,-,cond,49,51,0,25,48,0,-,-,44,yes,no
org/apache/tika/TypeDetectionBenchmark.java,main,99, public static,7642,25,48,0,-,goto,-,-,-,-,-,-,18,0,44,no,no
org/apache/tika/TypeDetectionBenchmark.java,main,99, public static,7641,49,51,0,-,goto,-,-,-,-,-,-,64,0,44,no,no
org/apache/tika/TypeDetectionBenchmark.java,main,99, public static,7641,52,63,0,-,-,-,-,-,-,-,-,-,-,44,no,no
org/apache/tika/TypeDetectionBenchmark.java,main,99, public static,7646,64,98,0,-,exit,-,-,-,-,-,-,-,-,44,yes,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177, private static,7647,0,6,0,-,cond,10,16,0,7,9,0,-,-,47,no,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177, private static,7649,7,9,0,-,goto,-,-,-,-,-,-,176,0,71,no,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177, private static,7648,10,16,0,-,cond,138,144,0,17,53,0,-,-,71,no,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177, private static,7652,17,53,0,-,-,-,-,-,-,-,-,-,-,71,no,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177, private static,7664,54,61,0,-,cond,83,125,0,62,82,0,-,-,71,yes,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177, private static,7654,62,82,0,-,goto,-,-,-,-,-,-,54,0,71,no,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177, private static,7653,83,125,0,-,goto,-,-,-,-,-,-,135,0,71,no,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177, private static,7663,126,134,0,-,exit,-,-,-,-,-,-,-,-,71,no,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177, private static,7663,135,137,0,-,goto,-,-,-,-,-,-,176,0,71,no,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177, private static,7663,138,144,0,-,cond,176,176,0,145,154,0,-,-,71,no,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177, private static,7659,145,154,0,-,-,-,-,-,-,-,-,-,-,71,no,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177, private static,7665,155,159,0,-,cond,176,176,0,160,175,0,-,-,71,yes,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177, private static,7661,160,175,0,-,goto,-,-,-,-,-,-,155,0,71,no,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177, private static,7660,176,176,0,return,exit,-,-,-,-,-,-,-,-,71,no,no
org/apache/tika/TypeDetectionBenchmark.java,<clinit>,11, static,7666,0,10,0,-,exit,-,-,-,-,-,-,-,-,29,no,no
org/apache/tika/batch/AutoDetectParserFactory.java,<init>,5, public,1047,0,4,0,-,exit,-,-,-,-,-,-,-,-,27,no,yes
org/apache/tika/batch/AutoDetectParserFactory.java,getParser,9, public,1048,0,8,0,-,exit,-,-,-,-,-,-,-,-,31,no,no
org/apache/tika/batch/BatchNoRestartError.java,<init>,6, public,1049,0,5,0,-,exit,-,-,-,-,-,-,-,-,28,no,yes
org/apache/tika/batch/BatchNoRestartError.java,<init>,6, public,1050,0,5,0,-,exit,-,-,-,-,-,-,-,-,31,no,yes
org/apache/tika/batch/BatchProcess.java,<init>,10,,1051,0,9,8,-,exit,-,-,-,-,-,-,-,-,375,no,yes
org/apache/tika/batch/BatchProcess.java,run,31, public,1052,0,30,8,-,exit,-,-,-,-,-,-,-,-,377,no,no
org/apache/tika/batch/BatchProcess.java,<init>,10,,1053,0,9,8,-,exit,-,-,-,-,-,-,-,-,401,no,yes
org/apache/tika/batch/BatchProcess.java,run,31, public,1054,0,30,8,-,exit,-,-,-,-,-,-,-,-,403,no,no
org/apache/tika/batch/BatchProcess.java,values,10, public static,1055,0,9,0,-,exit,-,-,-,-,-,-,-,-,55,no,no
org/apache/tika/batch/BatchProcess.java,valueOf,10, public static,1056,0,9,0,-,exit,-,-,-,-,-,-,-,-,55,no,no
org/apache/tika/batch/BatchProcess.java,<init>,7, private,1057,0,6,2,-,exit,-,-,-,-,-,-,-,-,55,no,yes
org/apache/tika/batch/BatchProcess.java,<clinit>,46, static,1058,0,45,1,-,exit,-,-,-,-,-,-,-,-,56,no,no
org/apache/tika/batch/BatchProcess.java,values,10, public static,1059,0,9,0,-,exit,-,-,-,-,-,-,-,-,60,no,no
org/apache/tika/batch/BatchProcess.java,valueOf,10, public static,1060,0,9,0,-,exit,-,-,-,-,-,-,-,-,60,no,no
org/apache/tika/batch/BatchProcess.java,<init>,7, private,1061,0,6,8,-,exit,-,-,-,-,-,-,-,-,60,no,yes
