Class_path,Method_name,Method_len,Method_access,Block_id,Block_start,Block_end,Block_count,Block_opcode,Block_type,Cond_true_start,Cond_true_end,Cond_true_count,Cond_false_start,Cond_false_end,Cond_false_count,Goto_start,Goto_count,Line_in_file,Can_fall_through
org/apache/tika/TestRereadableInputStream.java,doTestRewind,89,2,5082,50,67,1,-,cond,88,88,0,68,74,2,-,-,92,yes
org/apache/tika/TestRereadableInputStream.java,doTestRewind,89,2,5077,68,74,2,-,goto,-,-,-,-,-,-,88,2,92,no
org/apache/tika/TestRereadableInputStream.java,doTestRewind,89,2,5081,75,80,0,-,cond,85,87,0,81,84,0,-,-,92,no
org/apache/tika/TestRereadableInputStream.java,doTestRewind,89,2,5080,81,84,0,-,-,-,-,-,-,-,-,-,-,92,no
org/apache/tika/TestRereadableInputStream.java,doTestRewind,89,2,5083,85,87,0,-,exit,-,-,-,-,-,-,-,-,92,yes
org/apache/tika/TestRereadableInputStream.java,doTestRewind,89,2,5083,88,88,0,return,exit,-,-,-,-,-,-,-,-,92,no
org/apache/tika/TestRereadableInputStream.java,createTestInputStream,27,2,5084,0,26,5,-,exit,-,-,-,-,-,-,-,-,95,no
org/apache/tika/TestRereadableInputStream.java,createTestFile,45,2,5085,0,22,5,-,methenter,-,-,-,-,-,-,-,-,101,no
org/apache/tika/TestRereadableInputStream.java,createTestFile,45,2,5089,23,27,5,-,cond,39,44,5,28,38,15,-,-,108,yes
org/apache/tika/TestRereadableInputStream.java,createTestFile,45,2,5087,28,38,15,-,goto,-,-,-,-,-,-,23,15,108,no
org/apache/tika/TestRereadableInputStream.java,createTestFile,45,2,5086,39,44,5,areturn,exit,-,-,-,-,-,-,-,-,108,no
org/apache/tika/TestRereadableInputStream.java,testCloseBehavior,11,1,5090,0,10,1,-,exit,-,-,-,-,-,-,-,-,113,no
org/apache/tika/TestRereadableInputStream.java,doACloseBehaviorTest,47,2,5091,0,41,2,-,cond,46,46,1,42,45,1,-,-,119,no
