File Name,Hc_block_mean,Hc_block_std,Hc_block_median,Hc_block_var,Cond_hc_block_mean,Cond_hc_block_std,Cond_hc_block_median,Cond_hc_block_var,Goto_hc_block_mean,Goto_hc_block_std,Goto_hc_block_median,Goto_hc_block_var,Hc_fun_mean,Hc_fun_std,Hc_fun_median,Hc_fun_var,Per_blocks_in_loop,Cond_per_blocks_in_loop,Goto_per_blocks_in_loop,Cond_block_num,Goto_block_num
org/apache/tika/ResourceLoggingClassLoader.java,1.7272727272727273,1.656442468935327,1.0,2.7438016528925617,2.0,2.0,2.0,4.0,0,0,0,0,1.5,1.5,1.0,2.25,0.09090909090909091,0.0,0.0,2,0
org/apache/tika/TestParsers.java,1.826086956521739,2.4961217555490998,1.0,6.230623818525519,2.1666666666666665,2.1147629234082532,1.0,4.472222222222222,2.0,3.03315017762062,1.0,9.2,2.857142857142857,2.4743582965269675,1.0,6.1224489795918355,0.13043478260869565,0.08695652173913043,0.043478260869565216,6,5
org/apache/tika/TestRereadableInputStream.java,2.96875,3.2928366855190374,2.0,10.8427734375,2.142857142857143,1.6413036132965795,2.0,2.693877551020408,6.333333333333333,5.2493385826745405,4.0,27.555555555555557,3.090909090909091,1.6762808104168887,3.0,2.809917355371901,0.1875,0.03125,0.125,7,6
org/apache/tika/TikaDetectionTest.java,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
org/apache/tika/TikaIT.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
org/apache/tika/TikaTest.java,64.88461538461539,107.01449467715071,24.5,11452.102071005918,98.5,104.60521019528616,61.0,10942.25,82.0,0.0,82.0,0.0,129.7,132.4190696236762,68.5,17534.81,0.038461538461538464,0.0,0.0,4,1
org/apache/tika/TypeDetectionBenchmark.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7
org/apache/tika/bundle/BundleIT.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6
org/apache/tika/cli/TikaCLI.java,55.08,201.78648848060502,4.0,40717.78693333334,83.60909090909091,255.13661564861306,31.5,65094.69264462811,9.571428571428571,27.87398758113861,0.0,776.9591836734695,21.5,67.27493342000918,2.0,4525.916666666667,0.1,0.03333333333333333,0.02666666666666667,110,70
org/apache/tika/cli/TikaCLITest.java,2.683333333333333,5.213737196633098,1.0,27.18305555555556,3.8823529411764706,6.533914716499699,1.0,42.692041522491344,3.0,2.6457513110645907,1.0,7.0,3.56,6.487403178468254,1.0,42.086400000000005,0.06666666666666667,0.016666666666666666,0.03333333333333333,17,8
org/apache/tika/config/LoadErrorHandler.java,3.4285714285714284,2.969229955832361,6.0,8.816326530612246,0.0,0.0,0.0,0.0,0,0,0,0,3.4285714285714284,2.969229955832361,6.0,8.816326530612246,0.0,0.0,0.0,0,0
org/apache/tika/config/ServiceLoader.java,28847.41176470588,85839.14319223781,12.5,7368358503.977508,63517.9375,157562.37833968678,20072.0,24825903068.058594,53697.5,61003.18528159001,18244.0,3721388614.5,13253.21052631579,17163.647129843466,109.0,294590782.7977839,0.11764705882352941,0.029411764705882353,0.058823529411764705,16,8
org/apache/tika/config/TikaActivator.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
org/apache/tika/config/TikaConfig.java,141.6320754716981,256.2469815918574,4.0,65662.5155749377,183.34615384615384,295.59001522479025,8.0,87373.45710059172,136.23076923076923,244.0104518083518,4.0,59541.10059171598,318.2105263157895,345.57481921961613,176.0,119421.95567867038,0.24528301886792453,0.08490566037735849,0.05660377358490566,26,13
org/apache/tika/detect/AutoDetectReader.java,17092.18181818182,17068.224383435605,17112.0,291324283.60330576,20545.8,16775.84928878416,34155.0,281429119.36,131.0,131.0,131.0,17161.0,27286.4,13641.906209910696,34155.0,186101605.04000002,0.13636363636363635,0.045454545454545456,0.0,5,2
org/apache/tika/detect/CompositeDetector.java,2230.4,1946.707589752503,2400.0,3789670.44,4828.0,2424.0,4828.0,5875776.0,2400.0,0.0,2400.0,0.0,1816.0,836.5122035372028,2404.0,699752.6666666666,0.1,0.1,0.0,2,1
org/apache/tika/detect/DefaultDetector.java,995.25,995.9621290490919,631.0,991940.5625,2224.0,280.9377155171587,2409.0,78926.0,0,0,0,0,1347.6,877.6937051158565,631.0,770346.24,0.0,0.0,0.0,3,0
org/apache/tika/detect/EmptyDetector.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
org/apache/tika/detect/MagicDetector.java,4591434.93197279,17731310.00659345,1545.0,314399354549921.06,4786318.80952381,18045808.487934325,6089.0,325651203983202.56,4246793.971428571,17162795.286473785,253.0,294561542045406.8,127472.25,296930.54298006714,6534.5,88167747354.4375,0.24489795918367346,0.10884353741496598,0.06802721088435375,63,35
org/apache/tika/detect/MagicDetectorTest.java,79.3913043478261,334.73269531925024,1.0,112045.97731569002,21.0,19.0,21.0,361.0,574.3333333333334,759.1997248565242,40.0,576384.2222222221,4.3076923076923075,9.109459288053824,1.0,82.98224852071007,0.17391304347826086,0.043478260869565216,0.08695652173913043,2,3
